Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth,10,0,960.0,998.9699127000004,776.0253090000004,1265.3122450000005,576.0,0.021202955260566526,0.0,970,1100,1100,1200,1300,1300,1300,1300,1300,1300,1300
GET,/company/time-offs,158,0,2100.0,2465.833148487342,1036.1663609999994,19344.63603799999,50010.94936708861,0.3350066931169511,0.0,2100,2400,2500,2700,3400,3800,7200,13000,19000,19000,19000
POST,/company/time-offs,307,11,870.0,994.1944761107511,387.2934569999984,6992.198244999998,891.8338762214984,0.6509307264993923,0.023323250786623177,870,980,1000,1100,1400,1700,2300,2800,7000,7000,7000
GET,/employees,23,0,37000.0,38981.15075460869,27814.732389,54613.016716,1461347.9130434783,0.04876679709930301,0.0,37000,40000,42000,43000,50000,53000,55000,55000,55000,55000,55000
PATCH,/employees,86,3,1900.0,2253.7696796511623,316.68025299998703,4609.216156000002,49.604651162790695,0.1823454152408721,0.006360886578169958,1900,2300,2800,3300,3800,3900,4200,4600,4600,4600,4600
GET,/employees/custom-attributes,50,0,620.0,836.7857984799972,370.11177200000134,4754.87853300001,5767.0,0.10601477630283263,0.0,620,730,790,910,1100,2200,4800,4800,4800,4800,4800
GET,/employees/employee_id,198,5,700.0,875.1522243939373,322.9425279999987,5230.521445999983,7269.868686868687,0.41981851415921717,0.010601477630283263,700,810,870,920,1100,1900,3400,5200,5200,5200,5200
GET,/employees/employee_id/absences/balance,169,3,530.0,730.6605505621293,328.17484099999916,6608.8680259999965,359.44970414201185,0.35832994390357426,0.006360886578169958,530,620,780,870,1200,1500,2900,4200,6600,6600,6600
,Aggregated,1001,22,890.0,2131.6690948641353,316.68025299998703,54613.016716,43541.54045954046,2.122415821582709,0.04664650157324635,890,1200,1700,1900,2600,3700,33000,38000,53000,55000,55000
